Country,2013
Afghanistan,7.7
Albania,9.4
Algeria,5.7
Andorra,8.4
Angola,13.9
Antigua and Barbuda,6.8
Argentina,7.6
Armenia,12.6
Australia,6.4
Austria,9
Azerbaijan,6.3
Bahamas,6.1
Bahrain,2.2
Bangladesh,5.7
Barbados,6.4
Belarus,13.5
Belgium,9.9
Belize,4
Benin,9.6
Bhutan,6.5
Bolivia (Plurinational State of),7
Bosnia and Herzegovina,9.4
Botswana,7.2
Brazil,6.1
Brunei Darussalam,3.6
Bulgaria,14.2
Burkina Faso,9.5
Burundi,11.1
C̫te d'Ivoire,12.6
Cabo Verde,5.2
Cambodia,5.7
Cameroon,10.8
Canada,7.2
Central African Republic,14
Chad,13.6
Chile,5.4
China,7.2
Colombia,4.2
Comoros,8.2
Congo,10.1
Cook Islands,5
Costa Rica,4.4
Croatia,11.1
Cuba,8.5
Cyprus,5.5
Czechia,10
Democratic People's Republic of Korea,9.2
Democratic Republic of the Congo,13.7
Denmark,9.6
Djibouti,8.8
Dominica,7.2
Dominican Republic,5.9
Ecuador,5.3
Egypt,6.4
El Salvador,6.6
Equatorial Guinea,11.5
Eritrea,6.3
Estonia,11.3
Ethiopia,7.2
Fiji,6.9
Finland,9.4
France,8.7
Gabon,9
Gambia,8.2
Georgia,11.5
Germany,10.6
Ghana,8.1
Greece,9.7
Grenada,6.9
Guatemala,5.2
Guinea,10.1
Guinea-Bissau,12.3
Guyana,7.9
Haiti,8.6
Honduras,4.5
Hungary,13
Iceland,6.2
India,7.9
Indonesia,6.2
Iran (Islamic Republic of),5.1
Iraq,4.8
Ireland,5.9
Israel,5.1
Italy,9.5
Jamaica,7.1
Japan,9.5
Jordan,3.7
Kazakhstan,9.7
Kenya,8.3
Kiribati,8.2
Kuwait,1.9
Kyrgyzstan,6.6
Lao People's Democratic Republic,6.7
Latvia,14.2
Lebanon,4.4
Lesotho,14.1
Liberia,8
Libya,4.2
Lithuania,12
Luxembourg,6.8
Madagascar,7
Malawi,9
Malaysia,5
Maldives,3.5
Mali,11.2
Malta,7.5
Marshall Islands,6.6
Mauritania,7.8
Mauritius,7.4
Mexico,5.3
Micronesia (Federated States of),6.1
Monaco,8.7
Mongolia,6.7
Montenegro,9.5
Morocco,6.4
Mozambique,11.8
Myanmar,8.4
Namibia,5.7
Nauru,3.5
Nepal,6.6
Netherlands,8.3
New Zealand,6.3
Nicaragua,4.8
Niger,10.2
Nigeria,11.9
Niue,5.9
Norway,8.1
Oman,2.8
Pakistan,7.3
Palau,5.9
Panama,5
Papua New Guinea,7.7
Paraguay,4.8
Peru,4.4
Philippines,5.9
Poland,10
Portugal,9.1
Qatar,1.3
Republic of Korea,5.5
Republic of Moldova,12.4
Romania,11.8
Russian Federation,14.8
Rwanda,6.4
Saint Kitts and Nevis,8.5
Saint Lucia,7
Saint Vincent and the Grenadines,6.5
Samoa,5.2
San Marino,10.2
Sao Tome and Principe,6.5
Saudi Arabia,3.2
Senegal,7
Serbia,11.9
Seychelles,6.7
Sierra Leone,16.8
Singapore,4.5
Slovakia,9.4
Slovenia,9.1
Solomon Islands,5.4
Somalia,12.7
South Africa,11.1
South Sudan,11.1
Spain,8.2
Sri Lanka,6.6
Sudan,7.8
Suriname,4.6
Swaziland,11.8
Sweden,9.6
Switzerland,7.7
Syrian Arab Republic,3.5
Tajikistan,6
Thailand,7.6
The former Yugoslav republic of Macedonia,9.4
Timor-Leste,6
Togo,9.6
Tonga,6.7
Trinidad and Tobago,9.6
Tunisia,5.5
Turkey,5.7
Turkmenistan,8.8
Tuvalu,8.7
Uganda,9.2
Ukraine,15.1
United Arab Emirates,1.1
United Kingdom of Great Britain and Northern Ireland,8.9
United Republic of Tanzania,7.8
United States of America,8.4
Uruguay,9.1
Uzbekistan,6.4
Vanuatu,4.5
Venezuela (Bolivarian Republic of),4.8
Viet Nam,5.8
Yemen,6.7
Zambia,9.7
Zimbabwe,9.8
